system,ticker,sector,task,latency_total,tool_calls,reasoning_steps,response_length,prompt_tokens,completion_tokens,completeness_score,specificity_score,financial_quality_score,reasoning_coherence,composite_quality_score,estimated_cost_usd,citation_density,factor_coverage,actionable_recommendations
rag,AAPL,Technology,prediction,4.475,0,1,741,623,105,100.0,40,31.67,100,67.92,0.000451,4.76,7,1
agent,AAPL,Technology,prediction,47.21,5,9,1735,8937,225,100.0,100,57.67,100,89.42,0.005451,9.78,10,2
rag,AAPL,Technology,risk_analysis,4.46,0,1,805,542,109,100.0,40,50.0,45.0,61.5,0.000406,3.67,9,2
agent,AAPL,Technology,risk_analysis,39.399,5,11,1483,10307,199,100.0,100,37.0,30.0,70.25,0.006238,17.59,6,2
rag,AAPL,Technology,opportunity,6.608,0,1,604,614,83,80.0,50,42.67,15.0,52.17,0.000428,6.02,7,3
agent,AAPL,Technology,opportunity,41.68,4,10,1458,10590,209,100.0,100,37.0,45.0,73.25,0.006413,15.79,9,1
rag,MSFT,Technology,prediction,7.898,0,1,753,489,105,100.0,40,31.67,85.0,64.92,0.000371,4.76,7,1
agent,MSFT,Technology,prediction,32.508,4,10,1754,10760,225,100.0,100,49.67,100,87.42,0.006526,9.78,10,1
rag,MSFT,Technology,risk_analysis,6.998,0,1,816,621,109,100.0,40,50.0,45.0,61.5,0.000453,3.67,9,2
agent,MSFT,Technology,risk_analysis,37.704,5,13,1488,14742,198,100.0,100,37.0,30.0,70.25,0.008854,17.68,6,2
rag,MSFT,Technology,opportunity,5.318,0,1,595,587,80,80.0,60,42.67,15.0,54.67,0.00041,7.5,7,3
agent,MSFT,Technology,opportunity,27.258,4,10,1467,10440,210,100.0,100,45.0,45.0,75.25,0.006325,15.71,9,2
rag,TSLA,Consumer Cyclical,prediction,7.139,0,1,744,467,105,100.0,40,31.67,85.0,64.92,0.000358,4.76,7,1
agent,TSLA,Consumer Cyclical,prediction,43.738,5,9,1742,7515,226,100.0,100,57.67,100,89.42,0.004612,9.73,10,2
rag,TSLA,Consumer Cyclical,risk_analysis,6.088,0,1,806,630,109,100.0,40,50.0,45.0,61.5,0.000458,3.67,9,2
